"gene_name","cells_above_default_threshold","max_avg_expression","above_default_threshold"
"Pramef12",0,0.153846,FALSE
"Pramef12os",0,0.000818,FALSE
"1700012P22Rik",8,2.10084,TRUE
"9430007A20Rik",0,0.011457,FALSE
"Gm13124",0,0.005181,FALSE
"Gm13178",0,0.001569,FALSE
"Gm13212",0,0.166667,FALSE
"Tprgl",1,0.280443,TRUE
"Gm10563",36,1.166667,TRUE
"Vmn2r-ps159",0,0.047619,FALSE
"1700015F17Rik",14,0.92517,TRUE
"Gm8773",0,0.032081,FALSE
"9330182L06Rik",12,1.533333,TRUE
"Gm5152",0,0.111111,FALSE
"Gm8871",4,0.478992,TRUE
"Gm8857",0,0.142857,FALSE
"Gm43492",0,0.02521,FALSE
"Gm8879",0,0.095238,FALSE
"Gm5861",0,0.133787,FALSE
"Gm8890",0,0.066667,FALSE
"Speer1",0,0.142857,FALSE
"Gm8897",0,0.041667,FALSE
"Gm8906",0,0.136054,FALSE
"Gm6460",0,0.016807,FALSE
"Gm8922",0,0.006289,FALSE
"Gm8926",0,0.006349,FALSE
"4933402N22Rik",0,0.163265,FALSE
"Speer4e",5,0.546485,TRUE
"Gm10354",12,1.14966,TRUE
"4930572O03Rik",0,0.156463,FALSE
"Speer4c",2,0.390023,TRUE
"Gm28710",2,0.409412,TRUE
"Fam126a",21,7.563025,TRUE
"Nupl2",17,0.541667,TRUE
"Gm21671",0,0.021739,FALSE
"Speer4a",0,0.179138,FALSE
"Gm10471",0,0.095238,FALSE
"A230098N10Rik",0,0.084034,FALSE
"1700001C02Rik",4,0.287982,TRUE
"4930548H24Rik",6,0.434263,TRUE
"Gm43660",2,0.416667,TRUE
"Gm1673",8,0.623616,TRUE
"Gm7879",0,0.009804,FALSE
"Gm43303",0,0.003145,FALSE
"0610040J01Rik",0,0.083333,FALSE
"Gm43837",0,0.002217,FALSE
"Gm31363",3,0.346972,TRUE
"C030018K13Rik",0,0.010999,FALSE
"Gm21905",0,0.153846,FALSE
"Gm5108",0,0.158035,FALSE
